"gut_r1"	"gut_r2"	"gut_r3"	"duct_r1"	"duct_r2"	"duct_r3"	"node_r1"	"node_r2"	"node_r3"	"log2fold"	"p"	"p.adj"	"chromosome"	"start"	"stop"	"gene_name"	"gene_type"	"mean"	"mlog10p"	"sig"
"ENSMUSG00000026390"	0.93	1.55	1.38	165.47	329.24	55.13	20.5	398.63	565.6	7.1428331504	4.32401408005976e-07	9.61382457748066e-06	"1"	120474538	120505024	"Marco"	"protein_coding"	170.936666666667	6.36411290054613	"TRUE"
"ENSMUSG00000026399"	64.75	89.39	142.51	467.4	250.07	558.11	482.69	299.38	282.35	2.103303831	0.0021891721	0.0140574634	"1"	130439027	130462744	"Cd55"	"protein_coding"	292.961111111111	2.65972009537937	"TRUE"
"ENSMUSG00000026405"	12.03	13.21	13.84	0	0	0	0	0	0	-6.4150094183	0.0015352666	0.0106060489	"1"	130634773	130661632	"C4bp"	"protein_coding"	4.34222222222222	2.81381619813116	"TRUE"
"ENSMUSG00000026414"	8.33	8.55	2.77	103.52	90.76	132.17	287.94	985.99	1193.55	4.0728715688	1.4831624158952e-09	5.84937948635568e-08	"1"	135836354	135852260	"Tnnt2"	"protein_coding"	312.62	8.82881128830754	"TRUE"
"ENSMUSG00000026417"	270.1	244.86	586.66	34.51	28.97	30.21	69.89	18.71	19.6	-3.5556082135	9.20866195742318e-06	0.0001415772	"1"	130826684	130852249	"Pigr"	"protein_coding"	144.834444444444	5.03580346933883	"TRUE"
"ENSMUSG00000026418"	0	0.78	5.53	37.64	34.76	72.5	21.43	109.01	111.34	4.4637272323	6.1236e-05	0.0007279586	"1"	135779434	135810989	"Tnni1"	"protein_coding"	43.6655555555556	4.21299318562014	"TRUE"
"ENSMUSG00000026430"	5059.82	6529.57	5941.34	3257.67	3731.73	1458.35	1257.97	1770.22	1854.46	-1.0534680027	0.0004345155	0.0037183337	"1"	131176410	131245258	"Rassf5"	"protein_coding"	3429.01444444444	3.36199472682313	"TRUE"
"ENSMUSG00000026433"	404.23	421.31	423.39	1133.99	1171.17	1793.67	1513.29	1015.27	1059.05	1.7147122801	7.33082585041869e-17	1.0062040770874e-14	"1"	131867224	131872887	"Rab29"	"protein_coding"	992.818888888889	16.1348470973812	"TRUE"
"ENSMUSG00000026455"	47.18	20.99	22.14	198.41	90.76	196.36	82.93	47.18	129.15	2.4329837887	0.0001812568	0.0018136985	"1"	134455531	134491018	"Klhl12"	"protein_coding"	92.7888888888889	3.7417056915317	"TRUE"
"ENSMUSG00000026458"	4206.96	5141.26	4806.76	1208.49	1889.52	526.39	269.3	224.53	149.64	-1.9659477013	3.69237281422369e-07	8.315e-06	"1"	134296783	134332928	"Ppfia4"	"protein_coding"	2046.98333333333	6.43269445526642	"TRUE"
"ENSMUSG00000026463"	40.7	32.65	51.89	162.33	176.69	166.91	164.93	109.01	131.82	2.0128894607	0.000217794	0.0021143956	"1"	133699457	133801041	"Atp2b4"	"protein_coding"	115.214444444444	3.66195408878035	"TRUE"
"ENSMUSG00000026470"	1262.64	1270.93	1214.14	2271.12	2915.86	1622.23	4026.44	3544.51	3367.77	0.8610774831	1.36301985059428e-05	0.0001989971	"1"	155158715	155208256	"Stx6"	"protein_coding"	2388.40444444444	4.86549781919043	"FALSE"
"ENSMUSG00000026475"	3.7	27.21	24.21	188.21	81.1	186.54	0.93	200.94	216.44	3.043852123	0.0045707681	0.0252475337	"1"	153740349	153745468	"Rgs16"	"protein_coding"	103.253333333333	2.34001081227995	"TRUE"
"ENSMUSG00000026489"	720.59	728.36	796.98	1633.54	1957.1	1298.24	1449.93	1295.94	1577.45	1.121698958	1.525e-06	2.9269257862427e-05	"1"	180165238	180199602	"Coq8a"	"protein_coding"	1273.12555555556	5.8167301563172	"TRUE"
"ENSMUSG00000026496"	3710.23	4175.04	4540.41	2950.26	1808.41	1493.09	1045.51	2166.41	1834.86	-0.9909755556	0.0005146294	0.0042630528	"1"	180568924	180601254	"Parp1"	"protein_coding"	2636.02444444444	3.28850540682943	"FALSE"
"ENSMUSG00000026510"	664.16	506.04	585.97	326.24	230.76	262.06	327.07	492.99	382.11	-1.0994581744	0.0003260238	0.0029687112	"1"	182409172	182462432	"Trp53bp2"	"protein_coding"	419.711111111111	3.48675069492781	"TRUE"
"ENSMUSG00000026519"	136.9	152.36	259.43	480.73	521.38	543.01	618.74	319.71	400.82	1.4915468657	2.3884e-05	0.0003237771	"1"	180942344	180975112	"Tmem63a"	"protein_coding"	381.453333333333	4.62189293749026	"TRUE"
"ENSMUSG00000026526"	2841.64	3143.52	2926.39	1812.34	1763.04	1709.08	1230.95	1012.83	889.82	-0.7540063887	1.93230426631878e-08	6.00799760181947e-07	"1"	175600374	175625635	"Fh1"	"protein_coding"	1925.51222222222	7.71392448724813	"FALSE"
"ENSMUSG00000026554"	3304.15	3087.55	2907.72	2433.45	1997.66	1651.69	2146.01	3446.08	2600.87	-0.6123454116	0.0018224909	0.0121750331	"1"	172148084	172197005	"Dcaf8"	"protein_coding"	2619.46444444444	2.73933463150911	"FALSE"
"ENSMUSG00000026558"	3758.33	3662.78	3309.66	6366.34	4958.9	6220.82	1345.56	1722.22	1532.91	0.7095216553	0.0009922821	0.0073909251	"1"	167222883	167285320	"Uck2"	"protein_coding"	3653.05777777778	3.00336484290971	"FALSE"
"ENSMUSG00000026566"	94.35	95.61	64.34	163.12	277.1	152.56	192.89	292.87	230.69	1.2210338452	0.0038496849	0.0220104074	"1"	165592240	165634538	"Mpzl1"	"protein_coding"	173.725555555556	2.41457481641139	"TRUE"
"ENSMUSG00000026571"	158.18	103.38	141.13	105.87	61.79	43.05	126.73	136.67	215.55	-0.9327789715	0.0083376795	0.0405003509	"1"	165328698	165460475	"Dcaf6"	"protein_coding"	121.372222222222	2.07895480314792	"FALSE"
"ENSMUSG00000026573"	17.58	19.43	27.67	233.7	260.69	191.83	299.12	139.11	124.7	3.4053349938	0.0002397482	0.0022997085	"1"	164931644	164935527	"Xcl1"	"protein_coding"	145.981111111111	3.62024464477462	"TRUE"
"ENSMUSG00000026574"	52.73	87.84	145.97	6.27	0	0	0.93	1.63	1.78	-5.4760311569	4e-09	1.43368313724216e-07	"1"	164796644	164824266	"Dpt"	"protein_coding"	33.0166666666667	8.39794000867204	"TRUE"
"ENSMUSG00000026576"	124.88	64.52	146.67	1164.57	694.21	1468.92	191.03	560.52	430.21	3.3077205185	0.000970767	0.0072539797	"1"	164437109	164458355	"Atp1b1"	"protein_coding"	538.392222222222	3.01288499538243	"TRUE"
"ENSMUSG00000026578"	323.75	395.66	458.68	210.96	296.41	172.95	191.03	177.35	232.48	-0.7961875551	0.001411157	0.009924215	"1"	164275585	164287847	"Ccdc181"	"protein_coding"	273.252222222222	2.85042466559324	"FALSE"
"ENSMUSG00000026581"	31.45	31.09	67.11	1179.47	1043.72	1035.42	2044.44	1496.88	1361.89	4.6447103386	2.14204139956135e-27	8.93788194380968e-25	"1"	164061982	164084181	"Sell"	"protein_coding"	921.274444444444	26.6691721397473	"TRUE"
"ENSMUSG00000026594"	467.13	343.58	375.66	1642.17	733.79	1583.72	428.64	775.29	578.96	1.7395030078	3.99535313746797e-06	6.72218165378985e-05	"1"	156804166	156939626	"Ralgps2"	"protein_coding"	769.882222222222	5.39844482864643	"TRUE"
"ENSMUSG00000026600"	5840.53	4114.41	4809.53	1373.96	1203.03	996.15	441.69	1224.35	1018.97	-2.0468594383	8.98866361135666e-11	4.54068980444876e-09	"1"	156424525	156474331	"Soat1"	"protein_coding"	2335.84666666667	10.0463048721551	"TRUE"
"ENSMUSG00000026603"	367.23	429.86	336.22	200.76	104.28	194.85	409.07	159.45	207.54	-1.1785219787	0.0008531817	0.0065376046	"1"	189880492	189922363	"Smyd2"	"protein_coding"	267.695555555556	3.06895846835886	"TRUE"
"ENSMUSG00000026604"	3.7	15.55	5.53	13.33	56	37.01	20.5	89.49	82.84	2.0914411645	0.0064613017	0.0331274803	"1"	189728268	189876695	"Ptpn14"	"protein_coding"	35.9944444444444	2.18967997981015	"TRUE"
"ENSMUSG00000026616"	19.43	0.78	6.92	335.65	100.41	153.31	141.64	489.74	408.84	4.4554406077	7.203e-06	0.0001136727	"1"	195136811	195176716	"Cr2"	"protein_coding"	184.08	5.14248658522331	"TRUE"
"ENSMUSG00000026618"	1503.15	1190.87	1326.22	1130.07	534.9	366.29	760.37	767.96	779.37	-0.9845971248	0.0026594258	0.0163861782	"1"	185284726	185329396	"Iars2"	"protein_coding"	928.8	2.57521212232031	"FALSE"
"ENSMUSG00000026623"	1594.72	1462.93	1423.76	1003.81	823.59	831.51	742.67	868.03	1059.05	-0.7527576036	0.0001487715	0.001528975	"1"	191717834	191784255	"Lpgat1"	"protein_coding"	1090.00777777778	3.8274802581599	"FALSE"
"ENSMUSG00000026638"	347.8	215.32	297.48	17.25	2.9	35.5	78.27	39.86	39.19	-3.933267771	6.99201581750585e-12	4.21602387285042e-10	"1"	193153111	193172023	"Irf6"	"protein_coding"	119.285555555556	11.1553975979012	"TRUE"
"ENSMUSG00000026639"	61.05	67.63	51.19	145.87	229.79	178.23	319.62	109.83	117.57	1.622620069	0.0008201496	0.0063326351	"1"	193207699	193343878	"Lamb3"	"protein_coding"	142.308888888889	3.08610692258136	"TRUE"
"ENSMUSG00000026656"	640.11	708.92	799.05	1562.18	3154.35	2412.96	289.8	329.48	312.64	1.730513111	3.26954950976462e-05	0.0004298211	"1"	170958617	170976547	"Fcgr2b"	"protein_coding"	1134.38777777778	4.48551208186605	"TRUE"
"ENSMUSG00000026663"	3423.47	2990.39	3143.63	1849.2	1157.66	1140.4	399.76	1173.1	1051.04	-1.2043586409	0.0005960828	0.0048351771	"1"	170704674	170867771	"Atf6"	"protein_coding"	1814.29444444444	3.22469340957945	"TRUE"
"ENSMUSG00000026667"	2010.05	1139.57	1553.13	1050.08	611.17	655.54	898.29	1529.42	1564.98	-1.0210765362	0.0095263579	0.0447530746	"1"	170193420	170215397	"Uhmk1"	"protein_coding"	1223.58111111111	2.02107310631432	"TRUE"
"ENSMUSG00000026670"	3116.37	1916.12	3053.69	8720.58	10609.11	8201.79	10088	20290.84	22177.76	1.7675595631	1e-09	3.96179843003916e-08	"1"	170141938	170174957	"Uap1"	"protein_coding"	9797.14	9	"TRUE"
"ENSMUSG00000026675"	877.84	663.84	381.88	198.41	171.86	206.93	390.44	430.35	699.21	-1.7353743602	2.08532568875181e-06	3.82303601444895e-05	"1"	169949535	169969241	"Hsd17b7"	"protein_coding"	446.751111111111	5.6808261067422	"TRUE"
"ENSMUSG00000026678"	28.68	64.52	26.98	0	0	0.76	0	0	0	-7.0738780346	8.56235806866422e-06	0.0001324214	"1"	169655501	169695813	"Rgs5"	"protein_coding"	13.4377777777778	5.06740661439082	"TRUE"
"ENSMUSG00000026687"	3043.29	3142.74	2617.84	2231.9	1821.93	1847.29	1646.55	1298.38	1609.51	-0.5768376349	0.000158627	0.0016198901	"1"	167349991	167368532	"Aldh9a1"	"protein_coding"	2139.93666666667	3.79962288919361	"FALSE"
"ENSMUSG00000026700"	62.9	23.32	6.92	174.1	280.97	323.99	100.64	215.58	295.72	3.072972192	2.1702e-05	0.000298464	"1"	161395409	161418410	"Tnfsf4"	"protein_coding"	164.904444444444	4.66350024085474	"TRUE"
"ENSMUSG00000026705"	529.11	492.05	442.07	266.64	260.69	237.14	191.96	351.44	349.16	-0.9365049718	0.0031987266	0.0189749879	"1"	161088375	161131511	"Klhl20"	"protein_coding"	346.695555555556	2.4950228781358	"FALSE"
"ENSMUSG00000026715"	10.18	3.11	4.84	193.7	199.86	478.06	1810.55	612.58	686.74	5.608143584	3.50870229286118e-14	3.07571663596482e-12	"1"	160978585	161005863	"Serpinc1"	"protein_coding"	444.402222222222	13.4548534793345	"TRUE"
"ENSMUSG00000026727"	3466.02	4114.41	4395.13	2771.45	2849.24	2961.25	2897.99	3463.16	3979.69	-0.480845164	0.0083497875	0.0405214273	"2"	13076821	13271415	"Rsu1"	"protein_coding"	3433.14888888889	2.07832457706152	"FALSE"
"ENSMUSG00000026729"	14.8	13.99	9.69	37.64	28	46.07	27.02	66.71	49.88	1.5489816887	0.0031349514	0.0186656653	"1"	160074735	160077985	"4930562F07Rik"	"lincRNA"	32.6444444444444	2.5037691874889	"TRUE"
"ENSMUSG00000026730"	260.85	316.37	211	39.21	59.86	26.43	13.05	19.52	10.69	-2.6615765561	4.55657656065056e-15	4.52685032308822e-13	"2"	12924041	13003455	"Pter"	"protein_coding"	106.331111111111	14.3413613282131	"TRUE"
"ENSMUSG00000026755"	1650.22	1823.62	1879.67	3198.07	2546.07	3866.02	4340.47	3251.64	2883.22	0.844140713	0.0001166278	0.0012490791	"2"	39005348	39015877	"Arpc5l"	"protein_coding"	2826.55555555556	3.93319791657919	"FALSE"
"ENSMUSG00000026770"	27.75	9.33	58.11	475.24	644	188.05	327.07	981.11	1058.16	3.7746056332	2e-09	7.6e-08	"2"	11642807	11693193	"Il2ra"	"protein_coding"	418.757777777778	8.69897000433602	"TRUE"
"ENSMUSG00000026773"	1351.44	1519.68	1789.74	6104.41	7277.11	4310.09	24237.86	25888.68	25466.26	1.9241863845	2.54944095629019e-10	1.15880145252902e-08	"2"	11471433	11554077	"Pfkfb3"	"protein_coding"	10882.8077777778	9.59355504161151	"TRUE"
"ENSMUSG00000026778"	11.1	14.77	15.91	132.53	103.31	83.83	504.12	398.63	482.76	2.9252833209	1.10136820533106e-13	8.80377198000841e-12	"2"	11172108	11301222	"Prkcq"	"protein_coding"	194.106666666667	12.9580674650334	"TRUE"
"ENSMUSG00000026785"	419.03	574.45	467.67	159.98	285.79	92.14	105.3	362.02	155.87	-1.4436575591	0.002985005	0.0179418495	"2"	30077684	30091022	"Pkn3"	"protein_coding"	291.361111111111	2.52505493707378	"TRUE"
"ENSMUSG00000026786"	1577.15	1701.58	1561.44	825.79	840.97	870.02	629.92	1077.92	955.73	-0.932040973	0.0008546885	0.0065412204	"2"	22774094	22875653	"Apbb1ip"	"protein_coding"	1115.61333333333	3.06819213951827	"FALSE"
"ENSMUSG00000026796"	238.65	206.77	130.75	924.6	634.35	382.15	94.11	114.71	227.13	1.7532374753	0.0001807115	0.0018108472	"2"	32876114	32925254	"Fam129b"	"protein_coding"	328.135555555556	3.74301420921204	"TRUE"
"ENSMUSG00000026797"	52.73	130.59	131.45	418.78	381.38	284.72	1199.27	1011.21	964.64	1.7805938609	1.08018363045045e-06	2.14219306863953e-05	"2"	32787602	32847245	"Stxbp1"	"protein_coding"	508.307777777778	5.96650240848318	"TRUE"
"ENSMUSG00000026799"	987.91	1168.33	1041.19	616.4	606.35	818.67	709.12	492.18	521.06	-0.6468645193	0.0012936274	0.0092369979	"2"	29346819	29524793	"Med27"	"protein_coding"	773.467777777778	2.8881907943209	"FALSE"
"ENSMUSG00000026806"	391.28	401.1	378.42	201.55	119.72	136.7	70.82	246.5	206.64	-1.3531962359	0.0007326653	0.0057551191	"2"	28840406	28905571	"Ddx31"	"protein_coding"	239.192222222222	3.13509437673639	"TRUE"
"ENSMUSG00000026807"	0.93	3.89	0	31.37	28	37.01	24.23	9.76	0	4.3294153187	0.0028065098	0.0171005299	"2"	28700164	28813165	"Ak8"	"protein_coding"	15.0211111111111	2.55183343693674	"TRUE"
"ENSMUSG00000026809"	4.63	3.89	4.15	39.21	41.52	115.55	20.5	9.76	5.34	3.9592046767	5.71115087938277e-07	1.21956745953493e-05	"2"	28692080	28699727	"Spaca9"	"protein_coding"	27.1722222222222	6.24327636632484	"TRUE"
"ENSMUSG00000026810"	854.71	926.58	913.2	1070.47	1438.62	1968.13	1660.52	1180.42	1026.1	0.732598211	0.010213315	0.0471729891	"2"	32570858	32573579	"Dpm2"	"protein_coding"	1226.52777777778	1.9908332733354	"FALSE"
"ENSMUSG00000026811"	452.33	380.89	246.29	958.32	1357.52	839.06	1172.24	1360.21	1198.89	1.5480281825	1.09231565400993e-06	2.16214245631965e-05	"2"	32599709	32620806	"St6galnac6"	"protein_coding"	885.083333333333	5.96165184241394	"TRUE"
"ENSMUSG00000026814"	29.6	73.07	51.19	66.66	196	84.59	118.34	66.71	63.24	1.1653733099	0.005378306	0.0287049367	"2"	32646595	32682669	"Eng"	"protein_coding"	83.2666666666667	2.26935449212185	"TRUE"
"ENSMUSG00000026815"	0	0	0	43.13	35.72	42.29	24.23	30.91	0	8.1142416893	0.0005967	0.0048364228	"2"	28609450	28621982	"Gfi1b"	"protein_coding"	19.5866666666667	3.2242439621559	"TRUE"
"ENSMUSG00000026842"	2125.68	2147.76	2106.59	721.49	696.14	309.64	291.66	749.25	900.51	-1.8855787724	3e-08	8.91812982136332e-07	"2"	31688376	31804227	"Abl1"	"protein_coding"	1116.52444444444	7.52287874528034	"TRUE"
"ENSMUSG00000026851"	1772.33	1602.08	1665.9	2108	3168.83	2779.24	2796.42	2065.53	1829.52	0.676458484	0.0008194207	0.0063293499	"2"	30972177	30982201	"BC005624"	"protein_coding"	2198.65	3.08649306920613	"FALSE"
"ENSMUSG00000026873"	579.98	577.56	554.84	292.52	274.21	206.93	80.14	235.92	190.61	-1.1465360263	0.00140293	0.0098886089	"2"	34893757	34914026	"Phf19"	"protein_coding"	332.523333333333	2.85296399780425	"TRUE"
"ENSMUSG00000026875"	9263.08	7002.97	8306.67	25145.4	33338.35	20845.08	39780.8	49255.45	49849.42	1.6907891781	1.17742695008364e-08	3.83255964231895e-07	"2"	34941750	34961772	"Traf1"	"protein_coding"	26976.3577777778	7.92906602785911	"TRUE"
"ENSMUSG00000026879"	59349.78	64200.45	55278.41	8578.64	8367.17	4141.68	4770.97	4206.72	4366.26	-3.0841609071	4.44837984808693e-22	1.07669605306673e-19	"2"	35256380	35307892	"Gsn"	"protein_coding"	23695.5644444444	21.3517981353458	"TRUE"
"ENSMUSG00000026893"	346.88	308.6	397.8	1217.9	1451.17	1064.12	5030.96	3668.98	4732.34	1.8250630861	2.47498641950685e-09	9.27031268764298e-08	"2"	62664285	62694109	"Gca"	"protein_coding"	2024.30555555556	8.60642717974028	"TRUE"
"ENSMUSG00000026896"	1906.45	1630.06	1524.77	642.28	546.48	418.4	528.35	1180.42	1341.41	-1.6550005659	3.55467688967434e-06	6.07878884830129e-05	"2"	62595798	62646255	"Ifih1"	"protein_coding"	1079.84666666667	5.44919986931083	"TRUE"
"ENSMUSG00000026915"	3697.28	3021.48	3524.13	2315.03	1265.79	1257.46	2755.42	3296.39	3711.58	-1.081859641	0.0001100621	0.0011891383	"2"	37483228	37703859	"Strbp"	"protein_coding"	2760.50666666667	3.95836220504738	"TRUE"
"ENSMUSG00000026922"	23.13	60.63	83.02	240.76	413.24	341.36	102.5	64.27	48.99	2.5713001308	4.93648369463125e-07	1.07505072360221e-05	"2"	26593057	26604417	"Agpat2"	"protein_coding"	153.1	6.3065822931366	"TRUE"
"ENSMUSG00000026924"	1762.15	1876.47	2124.58	1163.79	672.97	780.91	577.74	1314.65	1260.35	-1.1383999824	0.0007598002	0.0059436486	"2"	26409431	26445216	"Sec16a"	"protein_coding"	1281.51222222222	3.11930059646321	"TRUE"
"ENSMUSG00000026928"	685.43	473.39	558.99	181.16	288.69	150.29	178.91	314.83	514.83	-1.4709946804	0.0011081558	0.0081169076	"2"	26352176	26360918	"Card9"	"protein_coding"	371.835555555556	2.95539917613868	"TRUE"
"ENSMUSG00000026930"	626.23	812.31	650.31	381.92	308.97	135.94	295.39	554.82	575.4	-1.3377447151	0.0003681258	0.0032735322	"2"	26315515	26348237	"Gpsm1"	"protein_coding"	482.365555555556	3.43400374407199	"TRUE"
"ENSMUSG00000026932"	86.95	93.28	161.89	346.63	282.9	558.87	519.03	305.07	158.55	1.7949873998	7.01883969222514e-05	0.0008135225	"2"	26055535	26123220	"Nacc2"	"protein_coding"	279.241111111111	4.15373467660432	"TRUE"
"ENSMUSG00000026938"	0.93	3.11	0	33.72	34.76	19.64	0	25.22	14.25	4.4563828414	0.004661817	0.025675683	"2"	25624666	25628030	"Fcna"	"protein_coding"	14.6255555555556	2.33144477874553	"TRUE"
"ENSMUSG00000026942"	1483.72	1337.01	1304.77	2930.65	3647.73	1893.36	4226.79	4872.18	4445.53	1.0380265812	0.0020377156	0.0132811188	"2"	25517982	25546940	"Traf2"	"protein_coding"	2904.63777777778	2.69085642973563	"TRUE"
"ENSMUSG00000026956"	595.71	688.71	778.3	1411.61	2048.83	1603.35	1249.59	964.84	937.03	1.2949988331	7.45429839494746e-07	1.53804813320662e-05	"2"	25359889	25365682	"Uap1l1"	"protein_coding"	1141.99666666667	6.12759322646207	"TRUE"
"ENSMUSG00000026972"	2530.84	3018.37	3100.04	4972.77	6534.62	4492.1	15181.39	9828.96	9667.76	0.8872529639	0.0030172756	0.0180889137	"2"	24925352	24935252	"Arrdc1"	"protein_coding"	6591.87222222222	2.52038501926065	"FALSE"
"ENSMUSG00000026981"	630.86	401.88	374.97	4201.09	6094.35	4937.69	207.8	1856.46	2225.88	3.4359410257	1.43553896175609e-05	0.0002078393	"2"	24336853	24351494	"Il1rn"	"protein_coding"	2325.66444444444	4.84298501588357	"TRUE"
"ENSMUSG00000026988"	435.68	411.98	473.2	345.84	255.86	132.17	498.53	382.35	314.42	-0.8488810177	0.0014938575	0.0103957134	"2"	59852364	59882591	"Wdsub1"	"protein_coding"	361.114444444444	2.82569082816673	"FALSE"
"ENSMUSG00000026989"	2.78	1.55	0	14.12	52.14	46.82	177.98	80.54	40.97	4.7945314468	1.69768005251229e-07	4.15712428821172e-06	"2"	59484653	59505020	"Dapl1"	"protein_coding"	46.3222222222222	6.7701441542105	"TRUE"
"ENSMUSG00000026999"	164.65	160.13	131.45	228.99	214.34	216	154.68	143.99	158.55	0.5347399154	0.0031208394	0.0186109384	"2"	80617236	80658906	"Nup35"	"protein_coding"	174.753333333333	2.50572857977696	"FALSE"
"ENSMUSG00000027012"	1073.02	981.77	992.07	693.26	596.69	601.16	1025.01	826.54	945.93	-0.6877379538	0.0010986316	0.0080524757	"2"	71211706	71263303	"Dync1i2"	"protein_coding"	859.494444444444	2.95914791349939	"FALSE"
"ENSMUSG00000027014"	921.31	545.69	834.33	441.52	305.1	197.87	473.37	425.47	499.69	-1.2847987433	0.0006324507	0.0050905939	"2"	77881159	77946375	"Cwc22"	"protein_coding"	516.038888888889	3.19897332240895	"TRUE"
"ENSMUSG00000027015"	0	0.78	0	16.47	12.55	30.96	1.86	0	8.02	6.1393581316	0.0017621419	0.0118553908	"2"	71117923	71142926	"Cybrd1"	"protein_coding"	7.84888888888889	2.75395912208423	"TRUE"
"ENSMUSG00000027067"	5441.85	5343.37	5052.35	4662.22	2857.93	2883.46	3195.25	3306.96	2690.83	-0.6060488258	0.0003379713	0.0030603715	"2"	85037234	85047109	"Ssrp1"	"protein_coding"	3937.13555555556	3.47112017777216	"FALSE"
"ENSMUSG00000027068"	78.63	99.5	271.88	34.51	29.93	6.8	33.55	26.03	32.07	-2.6626203625	0.002199093	0.0141061607	"2"	69380445	69404533	"Dhrs9"	"protein_coding"	68.1	2.65775640386669	"TRUE"
"ENSMUSG00000027072"	0.93	4.66	0	243.89	419.03	602.67	27.02	39.05	67.69	7.829267131	2.92853642988066e-15	2.98039295300489e-13	"2"	84988215	84993886	"Prg3"	"protein_coding"	156.104444444444	14.533349369144	"TRUE"
"ENSMUSG00000027078"	909.29	984.88	1214.14	4747.7	6193.79	4722.45	26900.1	15843.32	18305.85	2.332891102	4.08749540039749e-18	6.55980127219176e-16	"2"	84798828	84810335	"Ube2l6"	"protein_coding"	8869.05777777778	17.388542723037	"TRUE"
"ENSMUSG00000027079"	741.86	659.18	579.74	1404.55	1500.41	1384.33	933.69	1298.38	1499.06	1.1153417387	3.7074830954256e-09	1.34054107140146e-07	"2"	84722104	84727350	"Clp1"	"protein_coding"	1111.24444444444	8.43092082049651	"TRUE"
"ENSMUSG00000027111"	34.23	83.17	86.48	194.49	171.86	185.79	309.37	261.14	331.34	1.4330881009	0.0015851469	0.0108756741	"2"	71745616	71858416	"Itga6"	"protein_coding"	184.207777777778	2.79993048429599	"TRUE"
"ENSMUSG00000027131"	831.59	854.29	947.79	1343.38	1569.93	1819.35	2397.6	1008.77	1002.94	0.8454736862	0.0035229406	0.0205075642	"2"	112363011	112368027	"Emc4"	"protein_coding"	1308.40444444444	2.45309467935912	"FALSE"
"ENSMUSG00000027134"	1602.12	2121.33	1647.91	808.54	1111.31	831.51	1291.52	942.06	801.64	-0.9655620657	0.0006266971	0.0050501285	"2"	112239468	112247111	"Lpcat4"	"protein_coding"	1239.77111111111	3.2029423149648	"FALSE"
"ENSMUSG00000027173"	179.45	187.34	156.35	495.63	557.1	398.76	1230.02	1034.8	941.48	1.4723130101	6.23352048002752e-08	1.7091637576755e-06	"2"	104721784	104742878	"Depdc7"	"protein_coding"	575.658888888889	7.20526660932383	"TRUE"
"ENSMUSG00000027175"	111	160.13	148.05	285.46	432.55	376.1	657.87	233.48	245.84	1.3823257542	9.93511765380186e-05	0.0010897811	"2"	104657288	104712169	"Tcp11l1"	"protein_coding"	294.497777777778	4.00282698551497	"TRUE"
"ENSMUSG00000027185"	752.96	709.7	819.81	317.61	305.1	314.93	188.23	361.2	344.7	-1.2834416285	3.36846240848093e-08	9.87e-07	"2"	103721256	103761270	"Nat10"	"protein_coding"	457.137777777778	7.47256829494345	"TRUE"
"ENSMUSG00000027193"	6535.22	4877.75	5513.11	4357.94	2373.24	1755.15	1744.39	4201.84	4796.47	-0.9959849511	0.0100953648	0.0467524075	"2"	94411682	94438136	"Api5"	"protein_coding"	4017.23444444444	1.99587798303391	"FALSE"
"ENSMUSG00000027195"	2852.74	2527.1	2586.71	1409.25	1469.52	1564.08	809.76	1182.86	1312.01	-0.8423048944	5.77e-07	1.22963390474808e-05	"2"	94032689	94157964	"Hsd17b12"	"protein_coding"	1746.00333333333	6.23882418684427	"FALSE"
"ENSMUSG00000027198"	2209.86	2283.02	2164.01	1734.71	1933.93	920.62	1372.59	1772.66	1502.63	-0.5371649602	0.0102459851	0.0473029401	"2"	93661028	93822568	"Ext2"	"protein_coding"	1766.00333333333	1.98944628002248	"FALSE"
"ENSMUSG00000027199"	2071.1	2370.08	2296.84	954.4	808.14	904.01	775.28	608.51	812.33	-1.3371353202	1.75778194049268e-11	1e-09	"2"	122594467	122611303	"Gatm"	"protein_coding"	1288.96555555556	10.7550350017961	"TRUE"
"ENSMUSG00000027200"	159.1	143.03	255.97	1074.39	1501.38	799.03	3042.43	6118.49	8308.53	2.5956183435	4.22747829781763e-05	0.0005361573	"2"	124089969	124667770	"Sema6d"	"protein_coding"	2378.03888888889	4.37391861321863	"TRUE"
"ENSMUSG00000027219"	19.43	19.43	40.13	279.18	139.03	375.35	339.19	358.76	187.05	3.3212366187	2.20697239107357e-12	1.41674046138363e-10	"2"	122426477	122461137	"Slc28a2"	"protein_coding"	195.283333333333	11.6562030997697	"TRUE"
"ENSMUSG00000027221"	0	4.66	0	65.09	51.17	21.15	1.86	43.12	39.19	4.870517405	0.0003673683	0.0032711929	"2"	92599707	92615250	"Chst1"	"protein_coding"	25.1377777777778	3.43489832143532	"TRUE"
"ENSMUSG00000027222"	771.46	750.9	830.18	2147.99	2735.31	2215.84	3479.46	2120.85	1986.28	1.5931994083	5.82494953634211e-10	2.46502884739767e-08	"2"	92374676	92381217	"Pex16"	"protein_coding"	1893.14111111111	9.23470783273681	"TRUE"
"ENSMUSG00000027223"	9.25	8.55	2.08	59.6	18.34	24.17	43.8	37.42	7.13	2.3831164202	0.0015094346	0.0104831339	"2"	92383676	92401263	"Mapk8ip1"	"protein_coding"	23.3711111111111	2.82118569911947	"TRUE"
